DOY	LAI	umid	rh	ta	tmax	tmin	vpd	rn	rs	par	sw	tm	ano
131 	0,86 	0,90 	30,28 	24,00 	31,20 	16,80 	2,25 	12,37 	24,16 	11,84 	7,77 	1,01 	1
132 	0,89 	0,68 	54,10 	20,60 	24,40 	16,80 	1,14 	7,23 	10,88 	5,33 	7,83 	0,79 	1
133 	0,91 	1,14 	20,06 	17,70 	23,30 	12,10 	1,71 	13,34 	27,35 	13,40 	7,89 	0,69 	1
134 	0,93 	0,51 	24,67 	16,55 	23,30 	9,80 	1,53 	8,56 	14,76 	7,23 	7,93 	0,91 	1
135 	0,96 	0,74 	25,90 	14,65 	24,40 	4,90 	1,45 	14,78 	28,81 	14,12 	7,97 	0,89 	1
136 	0,98 	0,60 	20,58 	16,05 	27,20 	4,90 	1,78 	15,04 	29,72 	14,56 	8,00 	0,88 	1
137 	1,01 	0,70 	22,58 	17,05 	27,20 	6,90 	1,78 	14,58 	28,75 	14,09 	8,04 	0,97 	1
138 	1,04 	0,39 	20,92 	17,65 	30,40 	4,90 	2,06 	14,53 	28,65 	14,04 	8,07 	1,19 	1
139 	1,06 	0,62 	18,98 	23,05 	32,00 	14,10 	2,58 	12,04 	24,73 	12,12 	8,08 	1,28 	1
140 	1,09 	0,25 	37,06 	23,05 	33,20 	12,90 	2,07 	15,58 	28,31 	13,87 	8,11 	1,35 	1
141 	1,12 	1,25 	23,67 	24,00 	31,60 	16,40 	2,49 	12,06 	24,00 	11,76 	8,14 	1,49 	1
142 	1,14 	0,62 	71,68 	18,30 	23,70 	12,90 	0,63 	0,70 	1,65 	0,81 	8,15 	0,84 	1
143 	1,17 	0,35 	52,11 	18,05 	24,40 	11,70 	1,06 	14,37 	25,73 	12,61 	8,16 	1,49 	1
144 	1,20 	0,14 	39,93 	16,15 	23,70 	8,60 	1,22 	9,56 	16,04 	7,86 	8,16 	1,41 	1
145 	1,22 	0,22 	33,11 	19,25 	26,80 	11,70 	1,64 	13,71 	25,94 	12,71 	8,17 	1,32 	1
146 	1,25 	0,22 	34,13 	19,40 	28,70 	10,10 	1,70 	13,74 	25,72 	12,60 	8,18 	1,46 	1
147 	1,28 	0,15 	34,85 	21,45 	31,20 	11,70 	1,93 	15,32 	28,11 	13,77 	8,17 	1,50 	1
148 	1,31 	0,27 	29,70 	22,45 	32,80 	12,10 	2,24 	14,58 	27,31 	13,38 	8,19 	1,64 	1
149 	1,34 	0,72 	34,55 	21,80 	29,50 	14,10 	1,88 	10,25 	17,93 	8,78 	8,18 	1,69 	1
150 	1,36 	0,58 	50,32 	20,05 	26,00 	14,10 	1,23 	14,99 	26,49 	12,98 	8,18 	1,74 	1
151 	1,39 	0,21 	31,61 	18,85 	28,30 	9,40 	1,72 	16,96 	31,17 	15,27 	8,16 	1,69 	1
152 	1,42 	1,06 	43,95 	21,60 	27,60 	15,60 	1,53 	11,74 	20,82 	10,20 	8,16 	1,59 	1
153 	1,45 	0,31 	41,25 	24,20 	31,60 	16,80 	1,93 	15,45 	27,39 	13,42 	8,15 	1,73 	1
154 	1,48 	0,38 	42,52 	21,00 	28,70 	13,30 	1,57 	10,60 	17,97 	8,80 	8,14 	1,61 	1
155 	1,50 	0,32 	49,87 	22,75 	29,90 	15,60 	1,50 	13,30 	23,06 	11,30 	8,13 	1,74 	1
156 	1,53 	0,23 	45,86 	22,65 	32,80 	12,50 	1,74 	16,28 	28,11 	13,77 	8,12 	1,80 	1
157 	1,56 	0,35 	34,81 	24,20 	32,80 	15,60 	2,20 	12,32 	22,35 	10,95 	8,09 	1,73 	1
158 	1,59 	0,11 	50,46 	20,60 	25,20 	16,00 	1,24 	8,36 	12,57 	6,16 	8,08 	1,17 	1
